flat_type,price,address,buildup_area,avg_price_sqft,age_of_property,possesion_status,which_floor,facing,furnicing,project_name,brokrage,carpet_area,bedrooms,bathrooms,balcony,parking,about_property
3 BHK Flat,2.75 Cr,"BM Satyam Solaris, Eden Gardens, Anushakti Nagar, Mumbai",841 sq.ft,₹32.70 K/sq.ft,1 Years Old,Ready to move,Lowerof 20 floors,Unfurnished,,BM Satyam Solaris,No ChargeAccess Zero Brokerage Properties,841 sq.ft,3,2,No Balcony,1 Covered Parking,"This iconic structure graces the Chembur skyline, setting new standards for luxury living in the area.
We offer over 10 top-notch amenities for your comfort, from a refreshing swimming pool to a state-of-the-art fitness center. Plus, our prime locatiRead More"
1 BHK Flat,98.0 L,"Kandarpada, Dahisar West, Mumbai",465 sq.ft,₹21.07 K/sq.ft,19 Year Old,Ready to move,Higherof 6 floors,,,"98,000Access Zero Brokerage Properties",98.0 L,1,No Balcony,30 days ago,,1 Open Parking,"Looking for a good 1 BHK Flat in Dahisar West, Mumbai? This property is in one of Mumbai's most popular locations. The property is on floor 6. Total number of floors is 6. This Flat is available for Rs 98.0 L. This modern unit has a built-up area of Read More"
1 BHK Flat,1.25 Cr,"Omkar Vive, Kurla West, Mumbai",550 sq.ft,₹22.73 K/sq.ft,Ready to move,North facing,North facingFacing,,,Omkar Vive,1.3 LacsAccess Zero Brokerage Properties,410 sq.ft,1,1,No Balcony,1 Covered and 1 Open Parking,"Its a prime property in a prime location new building spacious flat all supermarkets university hospital close by near to bkc gated community
 More About This Property A 1 BHK Flat for sale in Kurla, Mumbai. This beautifully designed 1 BHK unit with Read More"
3 BHK Flat,5.22 Cr,"Shivalik Garden Court, Parsi Colony, Dadar East, Mumbai",1425 sq.ft,₹36.67 K/sq.ft,1 Years Old,Ready to move,Middleof 38 floors,Semi Furnished,,Shivalik Garden Court,No ChargeAccess Zero Brokerage Properties,1150 sq.ft,3,2,3,2 Covered Parking,"one of the luxurious property ready to move centrally location in the city well connected to every parth of mumbai 
 More About This Property 3 BHK Flat for sale in Mumbai. This property is in Dadar East, which is a coveted investment location. This Read More"
3 BHK Flat,3.95 Cr,"Runwal Forest Tower 5 To 8, Kanjurmarg West, Mumbai",1550 sq.ft,₹25.48 K/sq.ft,3 Year Old,Ready to move,Higherof 50 floors,Fully Furnished,,Runwal Forest Tower 5 To 8,4.0 LacsAccess Zero Brokerage Properties,1130 sq.ft,3,2,1,2 Covered Parking,"Exclusive 3 bhk with 3 bathroom apartment  available for Sale its Fully Furnished Apartment available For Higher floor with attach one Balcony in Living Room with beautiful sky view , its Vaastu Compliant Apartment ,Located in Runwal Forest Building Read More"
3 BHK Flat,7.5 Cr,"Prestige Jasdan Classic, Byculla East, Byculla, Mumbai",2271 sq.ft,₹33.02 K/sq.ft,1 Years Old,Ready to move,Middleof 46 floors,Unfurnished,,Prestige Jasdan Classic,No ChargeAccess Zero Brokerage Properties,2271 sq.ft,3,3,1,2 Covered Parking,"Prestige Jasdan Classic is in the heart of South Mumbai. More About This Property 3 BHK Flat for sale in Byculla, Mumbai - contact now, for details about the most coveted property. This 3 BHK unit is available in Byculla and offers a premium lifestylRead More"
2 BHK Flat,2.1 Cr,"Runwal Forest Tower 5 To 8, Kanjurmarg West, Mumbai",1200 sq.ft,₹17.50 K/sq.ft,4 Year Old,Ready to move,Higherof 36 floors,Semi Furnished,,Runwal Forest Tower 5 To 8,2.1 LacsAccess Zero Brokerage Properties,771 sq.ft,2,2,No Balcony,1 Covered and 1 Open Parking,"2 bhk apartment for sale in one of premium complex of Kanjurmarg west known as 'RUNWAL FORESTS', Complex has all the amenities like theatre, swimming pool, squash court etc., For more details please contact us. More About This Property One of the finRead More"
3 BHK Flat,5.4 Cr,"Sheth Beaumonte, Sion East, Sion, Mumbai",1100 sq.ft,₹49.09 K/sq.ft,3 Year Old,Ready to move,Lowerof 40 floors,Semi Furnished,,Sheth Beaumonte,5.3 LacsAccess Zero Brokerage Properties,1040 sq.ft,3,2,2,2 Covered Parking,"2.5 BHK Flat for sale in Sion, Mumbai - contact now, for details about the most coveted property. This 2.5 BHK unit is available in Sion and offers a premium lifestyle at the best price. More About This Property Looking for a good 3 BHK Flat in Sion,Read More"
2 BHK Flat,3.25 Cr,"Lodha New Cuffe Parade Lodha Estrella, Sion, Mumbai",1200 sq.ft,₹27.08 K/sq.ft,6 Year Old,Ready to move,Higherof 43 floors,Semi Furnished,,Lodha New Cuffe Parade Lodha Estrella,3.3 LacsAccess Zero Brokerage Properties,955 sq.ft,2,2,3,2 Covered and 1 Open Parking,"It is a
superb property and offers an excellent view. The flat is
semi furnished with multiple amenities and promises a
comfortable stay. It is Feng Vaastu compliant, which is
considered to bring positive energy. The appeal of the flat
has been increRead More"
1 BHK Flat,73.0 L,"JP North Barcelona, Kashimira, Mira Road East, Mumbai",580 sq.ft,₹12.59 K/sq.ft,1 Years Old,Ready to move,Lowerof 25 floors,Semi Furnished,,JP North Barcelona,1.5 LacsAccess Zero Brokerage Properties,475 sq.ft,1,2,2,No Parking,"1 BHK Flat for sale in Mumbai. This property is in Mira Bhayandar, which is a coveted investment location. This tastefully designed 1 BHK unit is among Mumbai's best properties. Contact now for more details. This property in Mumbai is on floor 3. TheRead More"
2 BHK Flat,2.2 Cr,"Piramal Revanta Tower 1, P&T Staff Colony, Mulund West, Mumbai",999 sq.ft,₹22.02 K/sq.ft,Ready to move,East facing,East facingFacing,,,Piramal Revanta Tower 1,2.2 LacsAccess Zero Brokerage Properties,780 sq.ft,2,2,No Balcony,1 Covered Parking,"Its a 2 BHK Spacious Apartment comes with all modern amenities in the Complex This Gated Community offers amenities right from Stateoftheart gym, Swimming Pool to Kids Play Area and Many more More About This Property One of the finest property in MulRead More"
2 BHK Flat,2.1 Cr,"Sheth Montana, Vasant Oscar, Mulund West, Mumbai",805 sq.ft,₹26.09 K/sq.ft,2 Year Old,Ready to move,Middleof 38 floors,Unfurnished,,Sheth Montana,2.1 LacsAccess Zero Brokerage Properties,732 sq.ft,2,2,1,1 Covered Parking,"2 bed apartment available for sell in Sheth Montana a project by Sheth Corp, an ultra-luxury address in the lap of Mulund, with a view that can easily put many hill station resorts to shame. With an affluent neighbourhood and an equally opulent strucRead More"
2 BHK Flat,2.25 Cr,"Piramal Revanta Tower 1, P&T Staff Colony, Mulund West, Mumbai",1044 sq.ft,₹21.55 K/sq.ft,Ready to move,South facing,South facingFacing,,,Piramal Revanta Tower 1,2.3 LacsAccess Zero Brokerage Properties,894 sq.ft,2,2,No Balcony,2 Covered and 1 Open Parking,"Piramal Revanta is a luxury property in Mulund, blending nature with modern design. It's by Piramal Realty Group and offers 333 apartments across 14 acres. The apartments come in 2, 3, and 4 BHK sizes, designed for comfort and a dream lifestyle for yRead More"
4 BHK Flat,14.5 Cr,"Lodha World Crest, Lower Parel, Mumbai",2600 sq.ft,₹55.77 K/sq.ft,5 Year Old,Ready to move,Higherof 60 floors,Unfurnished,,Lodha World Crest,14.5 LacsAccess Zero Brokerage Properties,2500 sq.ft,4,3,4,3 Covered Parking,"A rare living experience on the Mumbai Mile
Lodha World Crest occupies pride of place on the Mumbai Mile – a glittering stretch where landmark residential and commercial developments rub shoulders with the finest hotels, luxury retail stores and premRead More"
2 BHK Flat,2.38 Cr,"Goodwill Kanchangiri, Kulupwadi, Borivali East, Mumbai",890 sq.ft,₹26.74 K/sq.ft,1 Years Old,Ready to move,Middleof 23 floors,Unfurnished,,Goodwill Kanchangiri,No ChargeAccess Zero Brokerage Properties,771 sq.ft,2,2,2,1 Open Parking,One of the finest property in Borivali East is now available for sale. This is a 2 BHK Flat. Make it yours now. It is on floor 8. It is a 23 storeyed building. The price of this Flat is Rs 2.38 Cr. Other charges when you move into this property incluRead More
3 BHK Flat,3.5 Cr,"Runwal Forests Tower 9 To 11, Kanjurmarg West, Mumbai",1960 sq.ft,₹17.86 K/sq.ft,1 Years Old,Ready to move,Middleof 48 floors,,,Runwal Forests Tower 9 To 11,3.5 LacsAccess Zero Brokerage Properties,1130 sq.ft,3,3,1,2 Covered Parking,One of the finest property in Kanjurmarg West is now available for sale. This is a 3 BHK Flat. Make it yours now. It is on floor 22. It is a 48 storeyed building. The price of this Flat is Rs 3.5 Cr. Other charges when you move into this property incRead More
7 BHK Flat,7.5 Cr,"Sheth Montana, Mulund Colony, Mulund West, Mumbai",6080 sq.ft,₹12.34 K/sq.ft,1 Years Old,Ready to move,Higherof 48 floors,Unfurnished,,Sheth Montana,No ChargeAccess Zero Brokerage Properties,5700 sq.ft,7,5,2,3 Covered and 3 Open Parking,"Property Description: This is a wonderful project with grand entrance lobby. It is equipped with all modern aminities like gym,club house,swimming pool,garden and banquet. It has lot of open space. All flats are north east facing. Flat size is huge aRead More"
2 BHK Flat,1.85 Cr,"Gurukrupa Marina Enclave, Kharodi Village, Malad West, Mumbai",1100 sq.ft,₹16.82 K/sq.ft,5 Year Old,Ready to move,Middleof 23 floors,Unfurnished,,Gurukrupa Marina Enclave,1.9 LacsAccess Zero Brokerage Properties,729 sq.ft,2,2,No Balcony,1 Covered Parking,2 Bhk on sale in MARINA ENCLAVE MALAD WEST. Ready possession with OC. Huge complex of 18 towers with all amenities. For inspection please call. More About This Property One of the finest property in Malad West is now available for sale. This is a 2 BRead More
1 BHK Flat,73.0 L,"JP North Barcelona, Kashimira, Mira Road East, Mumbai",480 sq.ft,₹15.21 K/sq.ft,5 Year Old,Ready to move,Middleof 23 floors,Unfurnished,,JP North Barcelona,1.5 Lacs(Negotiable)Access Zero Brokerage Properties,1,1,2,26 days ago,1 Open Parking,"Its a 1bhk Flat Good Location And Good Connectivity... Well Maintained Flat. More About This Property A 1 BHK Flat for sale in Mira Bhayandar, Mumbai. This beautifully designed 1 BHK unit with all the modern-day comforts is one of Mira Bhayandar's moRead More"
1 BHK Flat,1.58 Cr,"Hiranandani Regent Hill C D And E Wing, Hiranandani Gardens, Powai, Mumbai",379 sq.ft,₹41.69 K/sq.ft,1 Years Old,Ready to move,Lowerof 21 floors,Semi Furnished,,Hiranandani Regent Hill C D And E Wing,No ChargeAccess Zero Brokerage Properties,379 sq.ft,1,2,No Balcony,1 Covered Parking,1 BHK FLAT AVAILABLE FOR SALE GARDEN   FACING. BUIDER CONDITIONS    UN USED  AND UN TOUCHED FLAT AVAILABLE   VIDEO OF FLAT  More About This Property One of the finest property in Powai is now available for sale. This is a 1 BHK Flat. Make it yours noRead More
2 BHK Flat,3.0 Cr,"CMG Shatrunjay Tower, Lokmanya Tilak Colony, Dadar East, Mumbai",900 sq.ft,₹33.33 K/sq.ft,12 Year Old,Ready to move,Lowerof 12 floors,,,CMG Shatrunjay Tower,3.0 Lacs(Negotiable)Access Zero Brokerage Properties,750 sq.ft,2,2,No Balcony,1 Open Parking,"Property for sale in Dadar East, Mumbai. This 2 BHK Flat is located in Mumbai's most promising location. It is on floor 1. The total number of floors in this building is 12. This Flat's price is Rs 3.0 Cr. Homebuyers will also need to pay Rs 1500 towRead More"
3 BHK Flat,4.5 Cr,"Piramal Revanta, Asha Nagar, Mulund West, Mumbai",1560 sq.ft,₹28.85 K/sq.ft,1 Years Old,Ready to move,Higherof 39 floors,Unfurnished,,Piramal Revanta,4.5 LacsAccess Zero Brokerage Properties,1293 sq.ft,3,2,1,2 Covered Parking,"Property for sale in Mulund West, Mumbai. This 3 BHK Flat is located in Mumbai's most promising location. It is on floor 38. The total number of floors in this building is 39. This Flat's price is Rs 4.5 Cr. Homebuyers will also need to pay Rs 25000 Read More"
1 BHK Flat,29.0 L,"Ekta Parksville, Global City, Virar West, Mumbai",635 sq.ft,₹4.57 K/sq.ft,7 Year Old,Ready to move,Middleof 14 floors,,,Ekta Parksville,"59,997Access Zero Brokerage Properties",360 sq.ft,1,1,2,1 Open Parking,"1 BHK Flat for sale in Mumbai. This property is in Virar West, which is a coveted investment location. This tastefully designed 1 BHK unit is among Mumbai's best properties. Contact now for more details. This property in Mumbai is on floor 9. The totRead More"
2 BHK Flat,87.9 L,"Umiya Oasis, Chandan Shanti, Mira Road East, Mumbai",1070 sq.ft,₹8.21 K/sq.ft,Ready to move,East facing,East facingFacing,,,Umiya Oasis,No ChargeAccess Zero Brokerage Properties,680 sq.ft,2,2,4,1 Open Parking,"Looking for a good 2 BHK Flat in Mira Bhayandar, Mumbai? This property is in one of Mumbai's most popular locations. The property is on floor 8. Total number of floors is 23. Maintenance charges of this property is Rs 0. This Flat is available for RsRead More"
1 BHK Flat,72.0 L,"Strawberry The Address, Shivar Garden, Mira Road East, Mumbai",740 sq.ft,₹9.73 K/sq.ft,3 Year Old,Ready to move,Middleof 14 floors,Semi Furnished,,Strawberry The Address,"94,999Access Zero Brokerage Properties",410 sq.ft,1,2,3,1 Open Parking,"1 BHK Flat for sale in Mira Bhayandar, Mumbai with modern-day amenities. The Flat is in Mira Bhayandar which is a promising investment destination in Mumbai. This might be your chance to grab the best 1 BHK property for sale in Mira Bhayandar. The prRead More"
3 BHK Flat,6.8 Cr,"Piramal Aranya, Byculla East, Byculla, Mumbai",1420 sq.ft,₹47.89 K/sq.ft,2 Year Old,Ready to move,Middleof 72 floors,Unfurnished,,Piramal Aranya,6.8 LacsAccess Zero Brokerage Properties,3,3,1,11 days ago,1 Covered and 1 Open Parking,"Piramal Aranya is one of Mumbai South's most sought after destination for apartments and this 3 BHK flat in Byculla East is your opportunity to be a part of this community. Constructed on a Carpet Area of 1420 sq.ft., the flat comprises 3 bedroom(s),Read More"
2 BHK Flat,3.0 Cr,"L And T Elixir Reserve, Powai, Mumbai",1350 sq.ft,₹22.22 K/sq.ft,1 Years Old,Ready to move,Middleof 22 floors,Unfurnished,,L And T Elixir Reserve,3.0 LacsAccess Zero Brokerage Properties,850 sq.ft,2,1,No Balcony,1 Covered Parking,Available 2bhk for sale inL&T Elixir powai. built up 1350 Carpet 850 Price 3cr 1coverd parking  More About This Property One of the finest property in Powai is now available for sale. This is a 2 BHK Flat. Make it yours now. It is on floor 14. It is Read More
1 BHK Flat,60.41 L,"Umiya Oasis, Kashimira, Mira Road East, Mumbai",715 sq.ft,₹8.45 K/sq.ft,Ready to move,South facing,South facingFacing,,,Umiya Oasis,No ChargeAccess Zero Brokerage Properties,490 sq.ft,1,2,3,1 Open Parking,"1 BHK Flat for sale in Mira Bhayandar, Mumbai - contact now, for details about the most coveted property. This 1 BHK unit is available in Mira Bhayandar and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in MRead More"
3 BHK Flat,4.2 Cr,"Kalpataru Radiance, Siddharth Nagar, Goregaon West, Mumbai",1200 sq.ft,₹35 K/sq.ft,2 Year Old,Ready to move,Middleof 34 floors,Semi Furnished,,Kalpataru Radiance,4.2 Lacs(Negotiable)Access Zero Brokerage Properties,1150 sq.ft,3,3,2,2 Covered Parking,"a 3bhk spacious apartment for sale in good gated society known as kalpatru radiance located near by sv road in goregaon west with all modern amenities 
contact us for information More About This Property 3 BHK Flat for sale in Goregaon West, Mumbai wRead More"
2 BHK Flat,2.04 Cr,"L And T Rejuve 360 Tower A, Salpa Devi Pada, Mulund West, Mumbai",778 sq.ft,₹26.22 K/sq.ft,2 BHK,"30th Jun, 2026",Higherof 58 floors,Unfurnished,,L And T Rejuve 360 Tower A,No ChargeAccess Zero Brokerage Properties,778 sq.ft,2,2,1,1 Covered Parking,"Premium L&T Homes In Mulund — Be a part of Mulund's Prestigious Community! Offering Large 3 BHKs from 2.65 Cr*. Book Now. L&T Realty Rejuve 360 - Luxury Living in Mulund! Excellent connectivity, Mesmerising views. 2 Swimming Pools. 2 Lavish ClubhouseRead More"
3 BHK Flat,2.3 Cr,"Shanti Heights, Mulund West, Mumbai",859 sq.ft,₹26.77 K/sq.ft,1 Years Old,Ready to move,Higherof 17 floors,Unfurnished,,Shanti Heights,No ChargeAccess Zero Brokerage Properties,859 sq.ft,3,3,No Balcony,1 Covered and 1 Open Parking,"Shanti Heights 3 Bhk Ready to Move in Flat Higher flor With all Amenities  More About This Property Property for sale in Mulund West, Mumbai. This 3 BHK Flat is located in Mumbai's most promising location. It is on floor 15. The total number of floorRead More"
2 BHK Flat,1.0 Cr,"Shapoorji Pallonji Sarova, Singh Agri Estate, Kandivali East, Mumbai",650 sq.ft,₹15.38 K/sq.ft,3 Year Old,Ready to move,Higherof 33 floors,Semi Furnished,,Shapoorji Pallonji Sarova,"97,000Access Zero Brokerage Properties",484 sq.ft,2,2,1,1 Open Parking,"Looking for a good 2 BHK Flat in Kandivali East, Mumbai? This property is in one of Mumbai's most popular locations. The property is on floor 23. Total number of floors is 33. Maintenance charges of this property is Rs 0. This Flat is available for RRead More"
3 BHK Flat,3.19 Cr,"Veena Crest, SV Patel Nagar, Andheri West, Mumbai",1200 sq.ft,₹26.58 K/sq.ft,5 Year Old,Ready to move,Middleof 20 floors,Fully Furnished,,Veena Crest,No ChargeAccess Zero Brokerage Properties,953 sq.ft,3,3,No Balcony,2 Covered Parking,"Check out this 3 BHK Flat for sale in Andheri West, Mumbai. This 3 BHK Flat is perfect for a modern-day lifestyle. Andheri West is a promising location in Mumbai and this is one of the finest properties in the area. Buy this Flat for sale now. It is Read More"
2 BHK Flat,2.0 Cr,"Atmosphere O2 Tower G, P&T Staff Colony, Mulund West, Mumbai",796 sq.ft,₹25.13 K/sq.ft,1 Years Old,Ready to move,Middleof 48 floors,Semi Furnished,,Atmosphere O2 Tower G,2.0 LacsAccess Zero Brokerage Properties,680 sq.ft,2,2,1,1 Covered and 1 Open Parking,"2 BHK Flat for sale in Mulund West, Mumbai with modern-day amenities. The Flat is in Mulund West which is a promising investment destination in Mumbai. This might be your chance to grab the best 2 BHK property for sale in Mulund West. The property isRead More"
1 RK Flat,35.0 L,"Agarwal Paramount, Global City, Virar West, Mumbai",700 sq.ft,₹5 K/sq.ft,3 Year Old,Ready to move,Lowerof 15 floors,Semi Furnished,,Agarwal Paramount,"70,000(Negotiable)Access Zero Brokerage Properties",400 sq.ft,1,1,1,No Parking,Beautiful 1 room kitchen terrace flat with big terrace covered and road view. Prime location with all the latest facilities. More About This Property One of the finest property in Virar West is now available for sale. This is a 1 RK Flat. Make it youRead More
4 BHK Flat,7.2 Cr,"Lodha New Cuffe parade Lodha Evoq, Sion East, Sion, Mumbai",2670 sq.ft,₹26.97 K/sq.ft,1 Years Old,Ready to move,Lowerof 40 floors,Semi Furnished,,Lodha New Cuffe parade Lodha Evoq,7.2 LacsAccess Zero Brokerage Properties,2004 sq.ft,4,4,4,2 Covered Parking,"Looking for a 4 BHK Flat for sale in Mumbai? Your search ends here. Buy this 4 BHK property in Mumbai's finest location, Sion. It is on floor 0 out of 40 floors. This Flat is available at a reasonable price of Rs 7.2 Cr. Maintenance charges in this pRead More"
4 BHK Flat,3.85 Cr,"Piramal Revanta Tower 1, Sarvoday Parshwanath Nagar, Mulund West, Mumbai",1325 sq.ft,₹29.06 K/sq.ft,1 Years Old,Ready to move,Lowerof 48 floors,Semi Furnished,,Piramal Revanta Tower 1,3.9 LacsAccess Zero Brokerage Properties,925 sq.ft,4,3,1,2 Covered and 1 Open Parking,"3.5BHK Piramal Revanta LBS Marg Mulund West Carpet 1325 sq.ft The magnificent Piramal Revanta that is smartly located in Mulund West, Mumbai is a well-planned project. This precisely planned Piramal Revanta project's prices are available in the rangeRead More"
1 BHK Flat,1.15 Cr,"Piramal Revanta, Mulund Colony, Mulund West, Mumbai",510 sq.ft,₹22.55 K/sq.ft,1 Years Old,Ready to move,Middleof 40 floors,Semi Furnished,,Piramal Revanta,No ChargeAccess Zero Brokerage Properties,1,2,No Balcony,21 days ago,1 Covered Parking,"Looking for a 1 BHK Flat for sale in Mumbai? Your search ends here. Buy this 1 BHK property in Mumbai's finest location, Mulund West. It is on floor 15 out of 40 floors. This Flat is available at a reasonable price of Rs 1.15 Cr. Maintenance charges Read More"
1 BHK Flat,98.0 L,"Gurukrupa Marina Enclave, Kharodi Village, Malad West, Mumbai",650 sq.ft,₹15.08 K/sq.ft,10 Year Old,Ready to move,Middleof 23 floors,Unfurnished,,Gurukrupa Marina Enclave,"98,000Access Zero Brokerage Properties",452 sq.ft,1,2,No Balcony,No Parking,"Check out this 1 BHK Flat for sale in Malad West, Mumbai. This 1 BHK Flat is perfect for a modern-day lifestyle. Malad West is a promising location in Mumbai and this is one of the finest properties in the area. Buy this Flat for sale now. It is locaRead More"
3 BHK Flat,8.5 Cr,"Lokhandwala Minerva 1A 1B And 1C, BDD Chawl, Lower Parel, Mumbai",2000 sq.ft,₹42.50 K/sq.ft,5 Year Old,Ready to move,Middleof 60 floors,Semi Furnished,,Lokhandwala Minerva 1A 1B And 1C,8.5 LacsAccess Zero Brokerage Properties,1800 sq.ft,3,2,1,2 Covered Parking,"Looking for a 3 BHK Flat for sale in Mumbai? Your search ends here. Buy this 3 BHK property in Mumbai's finest location, Lower Parel. It is on floor 37 out of 60 floors. This Flat is available at a reasonable price of Rs 8.5 Cr. The built up area of Read More"
2 BHK Flat,1.3 Cr,"JK IRIS Tower 1 And 2, Kashimira, Mira Road East, Mumbai",932 sq.ft,₹13.95 K/sq.ft,2 Year Old,Ready to move,Lowerof 15 floors,,,JK IRIS Tower 1 And 2,2.6 Lacs(Negotiable)Access Zero Brokerage Properties,777 sq.ft,2,2,3,No Parking,"Check out this 2 BHK Flat for sale in Mira Bhayandar, Mumbai. This 2 BHK Flat is perfect for a modern-day lifestyle. Mira Bhayandar is a promising location in Mumbai and this is one of the finest properties in the area. Buy this Flat for sale now. ItRead More"
2 BHK Flat,1.35 Cr,"MICL Aaradhya Highpark, Mahajan Wadi, Mira Road East, Mumbai",1188 sq.ft,₹11.36 K/sq.ft,1 Years Old,Ready to move,Lowerof 30 floors,Semi Furnished,,MICL Aaradhya Highpark,No ChargeAccess Zero Brokerage Properties,740 sq.ft,2,2,2,2 Open Parking,"2bhk Property Near Dahisar Check naka spacious carpet with all modern amenities and good loacyion near metro station  More About This Property Property for sale in Mira Bhayandar, Mumbai. This 2 BHK Flat is located in Mumbai's most promising locationRead More"
