flat_type,price,address,buildup_area,age_of_property,which_floor,furnishing,bedrooms,bathrooms,balcony,parking
3 BHK Flat,2.15,Malad West,1300,2.0,23.0,Unfurnished,3.0,3.0,0.0,yes
2 BHK Flat,2.0,Mulund West,796,1.0,48.0,Semi Furnished,2.0,2.0,1.0,yes
1 BHK Flat,0.38,Virar West,650,4.0,14.0,Semi Furnished,1.0,1.0,2.0,yes
4 BHK Flat,3.85,Mulund West,1325,1.0,48.0,Semi Furnished,4.0,3.0,1.0,yes
1 BHK Flat,0.72,Mira Road East,740,3.0,14.0,Semi Furnished,1.0,2.0,3.0,yes
3 BHK Flat,6.8,Byculla,1420,2.0,72.0,Unfurnished,3.0,1.0,,yes
1 BHK Flat,0.6,Mira Road East,715,5.0,16.0,Semi Furnished,1.0,2.0,3.0,yes
3 BHK Flat,4.2,Goregaon West,1200,2.0,34.0,Semi Furnished,3.0,3.0,2.0,yes
2 BHK Flat,2.5,Powai,868,1.0,24.0,Unfurnished,2.0,2.0,0.0,yes
2 BHK Flat,1.52,Kanjurmarg East,750,1.0,35.0,Semi Furnished,2.0,2.0,0.0,yes
4 BHK Flat,7.2,Sion,2670,1.0,40.0,Semi Furnished,4.0,4.0,4.0,yes
2 BHK Flat,1.3,Mira Road East,932,2.0,15.0,Semi Furnished,2.0,2.0,3.0,no
2 BHK Flat,1.35,Mira Road East,1188,1.0,30.0,Semi Furnished,2.0,2.0,2.0,yes
3 BHK Flat,6.5,Byculla,1550,2.0,71.0,Unfurnished,3.0,3.0,0.0,yes
1 BHK Flat,0.32,Naigaon East,610,1.0,22.0,Unfurnished,1.0,2.0,,yes
1 BHK Flat,0.4,Vasai East,685,1.0,23.0,Unfurnished,1.0,2.0,1.0,yes
2 BHK Flat,2.4,Andheri West,935,3.0,17.0,Unfurnished,2.0,2.0,0.0,yes
1 BHK Flat,0.95,Vikhroli East,388,2.0,22.0,Unfurnished,1.0,2.0,0.0,yes
3 BHK Flat,3.6,Powai,1200,1.0,24.0,Fully Furnished,3.0,3.0,0.0,yes
4 BHK Flat,8.74,Powai,2500,1.0,22.0,Semi Furnished,4.0,3.0,2.0,yes
2 BHK Flat,1.04,Mira Road East,825,5.0,16.0,Semi Furnished,2.0,2.0,3.0,yes
2 BHK Flat,2.65,Borivali West,1025,4.0,22.0,Fully Furnished,2.0,2.0,0.0,yes
2 BHK Flat,2.1,Goregaon East,860,1.0,38.0,Unfurnished,2.0,2.0,0.0,yes
3 BHK Flat,5.22,Dadar East,1425,1.0,38.0,Semi Furnished,3.0,2.0,3.0,yes
1 BHK Flat,0.3,Virar West,650,3.0,15.0,Semi Furnished,1.0,2.0,,no
3 BHK Flat,4.3,Borivali East,1520,1.0,61.0,Unfurnished,3.0,3.0,0.0,yes
1 BHK Flat,2.25,Dadar West,550,3.0,21.0,Fully Furnished,2.0,,0.0,no
1 BHK Flat,1.1,Wadala East,463,1.0,22.0,Unfurnished,1.0,1.0,0.0,yes
3 BHK Flat,2.6,Borivali West,1200,1.0,20.0,Unfurnished,3.0,,0.0,yes
2 BHK Flat,2.7,Govandi,1200,1.0,16.0,Semi Furnished,2.0,2.0,1.0,yes
3 BHK Flat,3.56,Kanjurmarg East,1437,1.0,50.0,Semi Furnished,3.0,3.0,1.0,yes
3 BHK Flat,5.75,Powai,2400,2.0,20.0,Unfurnished,3.0,2.0,2.0,yes
2 BHK Flat,0.26,others,790,1.0,4.0,Semi Furnished,2.0,1.0,2.0,yes
1 BHK Flat,1.45,Mulund East,560,1.0,23.0,Fully Furnished,1.0,1.0,0.0,yes
4 BHK Flat,9.39,Andheri West,3300,3.0,30.0,Semi Furnished,4.0,4.0,2.0,yes
2 BHK Flat,2.7,Powai,1000,1.0,18.0,Unfurnished,2.0,,0.0,yes
1 BHK Flat,1.65,Santacruz East,600,3.0,13.0,Unfurnished,2.0,,0.0,yes
2 BHK Flat,2.05,Chembur,1200,3.0,15.0,Semi Furnished,2.0,,0.0,yes
2 BHK Flat,2.65,Powai,1100,2.0,22.0,Semi Furnished,2.0,,0.0,yes
2 BHK Flat,2.47,Chembur,978,1.0,10.0,Semi Furnished,2.0,,0.0,yes
1 BHK Flat,0.88,Kandivali East,700,2.0,21.0,Unfurnished,1.0,2.0,0.0,yes
3 BHK Flat,7.2,Santacruz West,1600,5.0,16.0,Semi Furnished,3.0,3.0,1.0,yes
3 BHK Flat,5.21,Vile Parle East,1245,1.0,8.0,Unfurnished,3.0,,0.0,yes
1 BHK Flat,1.15,Jogeshwari West,540,1.0,14.0,Fully Furnished,1.0,2.0,0.0,yes
2 BHK Flat,2.6,Santacruz East,850,1.0,9.0,Unfurnished,2.0,2.0,0.0,yes
2 BHK Flat,2.35,Govandi,1230,1.0,19.0,Unfurnished,2.0,2.0,1.0,yes
1 BHK Flat,1.6,Santacruz East,580,5.0,16.0,Semi Furnished,2.0,,0.0,yes
2 BHK Flat,0.6,Nalasopara West,1080,2.0,7.0,Semi Furnished,2.0,1.0,3.0,yes
2 BHK Flat,2.95,Worli,900,5.0,40.0,Unfurnished,2.0,,0.0,yes
2 BHK Flat,2.1,Chembur,1050,1.0,15.0,Unfurnished,2.0,2.0,0.0,yes
2 BHK Flat,2.2,Kandivali West,950,5.0,16.0,Semi Furnished,2.0,1.0,,yes
2 BHK Flat,2.5,Powai,1300,1.0,20.0,Unfurnished,2.0,2.0,1.0,yes
1 BHK Flat,1.88,Vile Parle East,615,1.0,2.0,Unfurnished,2.0,,0.0,yes
4 BHK Flat,15.0,Prabhadevi,2200,3.0,65.0,Semi Furnished,4.0,4.0,0.0,yes
2 BHK Flat,1.1,Kandivali East,645,4.0,32.0,Unfurnished,2.0,,0.0,yes
2 BHK Flat,2.0,Jogeshwari West,746,1.0,24.0,Semi Furnished,2.0,2.0,0.0,yes
2 BHK Flat,1.19,Kandivali East,700,2.0,32.0,Semi Furnished,2.0,2.0,1.0,yes
2 BHK Flat,1.95,Chembur,820,2.0,15.0,Unfurnished,2.0,,0.0,yes
1 BHK Flat,0.33,Naigaon East,610,1.0,22.0,Unfurnished,1.0,1.0,2.0,yes
2 BHK Flat,1.18,Vikhroli East,620,4.0,21.0,Semi Furnished,2.0,2.0,0.0,yes
1 BHK Flat,1.58,Powai,379,1.0,21.0,Semi Furnished,1.0,2.0,0.0,yes
3 BHK Flat,5.0,Matunga East,1350,5.0,16.0,Semi Furnished,4.0,1.0,,yes
3 BHK Flat,4.25,Bandra East,1400,4.0,20.0,Semi Furnished,3.0,3.0,0.0,yes
2 BHK Flat,2.03,Goregaon West,900,1.0,7.0,Semi Furnished,2.0,2.0,0.0,yes
3 BHK Flat,2.84,Chembur,1459,4.0,15.0,Unfurnished,3.0,3.0,1.0,yes
4 BHK Flat,17.6,Parel,2455,3.0,51.0,Semi Furnished,4.0,4.0,1.0,yes
3 BHK Flat,3.25,Ghatkopar East,1150,3.0,16.0,Unfurnished,3.0,,0.0,yes
2 BHK Flat,2.5,Chembur,820,2.0,13.0,Unfurnished,2.0,2.0,,yes
3 BHK Flat,3.4,Chembur,1213,2.0,14.0,Unfurnished,3.0,3.0,0.0,yes
3 BHK Flat,3.71,Kandivali West,1169,1.0,25.0,Unfurnished,3.0,3.0,0.0,yes
3 BHK Flat,2.8,Andheri East,1600,1.0,13.0,Unfurnished,3.0,3.0,3.0,yes
3 BHK Flat,5.76,Jogeshwari East,1965,2.0,32.0,Unfurnished,3.0,1.0,,yes
2 BHK Flat,1.5,Dahisar West,850,1.0,22.0,Unfurnished,2.0,2.0,0.0,yes
1 BHK Flat,2.75,Matunga West,503,1.0,39.0,Unfurnished,1.0,2.0,0.0,yes
1 BHK Flat,1.2,Borivali West,585,1.0,10.0,Unfurnished,2.0,,0.0,yes
3 BHK Flat,5.1,Borivali East,1350,5.0,61.0,Fully Furnished,3.0,3.0,0.0,yes
1 BHK Flat,1.5,Chembur,550,1.0,20.0,Unfurnished,1.0,1.0,0.0,yes
3 BHK Flat,9.24,Powai,1950,1.0,31.0,Semi Furnished,3.0,2.0,2.0,yes
2 BHK Flat,3.2,Borivali East,1200,1.0,42.0,Unfurnished,2.0,2.0,2.0,yes
2 BHK Flat,2.0,Borivali West,700,1.0,10.0,Unfurnished,2.0,2.0,0.0,yes
3 BHK Flat,2.5,Dahisar East,1100,4.0,23.0,Semi Furnished,3.0,3.0,0.0,yes
1 BHK Flat,1.05,Dahisar West,650,4.0,15.0,Semi Furnished,1.0,2.0,1.0,no
2 BHK Flat,4.1,Dadar West,1050,5.0,22.0,Unfurnished,2.0,2.0,0.0,yes
3 BHK Flat,2.25,Dahisar West,1500,1.0,22.0,Unfurnished,3.0,,0.0,yes
3 BHK Flat,3.5,Chembur,1050,2.0,16.0,Fully Furnished,2.0,,0.0,yes
1 BHK Flat,1.75,Borivali West,1050,1.0,10.0,Semi Furnished,1.0,2.0,0.0,yes
2 BHK Flat,1.6,Bhandup West,800,1.0,25.0,Unfurnished,2.0,2.0,0.0,yes
1 BHK Flat,0.3,Nalasopara West,594,4.0,9.0,Semi Furnished,1.0,2.0,2.0,yes
1 BHK Flat,1.12,Kandivali East,450,4.0,13.0,Unfurnished,1.0,2.0,1.0,yes
2 BHK Flat,4.75,Khar West,778,1.0,14.0,Semi Furnished,2.0,2.0,0.0,yes
2 BHK Flat,1.66,Borivali West,1010,5.0,16.0,Semi Furnished,2.0,2.0,0.0,yes
1 BHK Flat,0.9,Bhandup West,794,5.0,16.0,Semi Furnished,1.0,2.0,1.0,yes
3 BHK Flat,3.65,Borivali West,1250,5.0,16.0,Semi Furnished,3.0,1.0,,yes
1 BHK Flat,0.9,Mulund East,600,1.0,14.0,Unfurnished,2.0,,0.0,yes
2 BHK Flat,1.8,Dahisar West,890,1.0,18.0,Unfurnished,2.0,2.0,,yes
3 BHK Flat,5.24,Vikhroli East,1583,2.0,18.0,Semi Furnished,3.0,,0.0,yes
2 BHK Flat,1.95,Borivali West,900,4.0,14.0,Semi Furnished,2.0,2.0,0.0,yes
1 BHK Flat,1.35,Borivali West,760,1.0,9.0,Semi Furnished,1.0,,0.0,yes
1 BHK Flat,1.1,Kandivali East,635,2.0,21.0,Unfurnished,1.0,2.0,0.0,yes
2 BHK Flat,0.53,Nalasopara West,1080,4.0,7.0,Semi Furnished,2.0,2.0,3.0,yes
2 BHK Flat,1.9,Kandivali East,757,1.0,37.0,Semi Furnished,2.0,2.0,0.0,yes
2 BHK Flat,3.3,Sion,1140,4.0,40.0,Semi Furnished,2.0,2.0,0.0,yes
2 BHK Flat,1.85,Mulund West,950,3.0,40.0,Unfurnished,2.0,2.0,0.0,yes
3 BHK Flat,2.7,Santacruz East,1600,2.0,9.0,Fully Furnished,3.0,3.0,,yes
4 BHK Flat,5.75,Powai,1950,2.0,20.0,Semi Furnished,4.0,4.0,2.0,yes
2 BHK Flat,1.75,Kanjurmarg West,1000,1.0,36.0,Semi Furnished,2.0,2.0,0.0,yes
3 BHK Flat,7.2,Lower Parel,2520,5.0,16.0,Semi Furnished,3.0,3.0,1.0,no
1 BHK Flat,0.33,Naigaon East,615,1.0,23.0,Unfurnished,1.0,1.0,2.0,yes
1 BHK Flat,0.63,Mira Road East,730,2.0,14.0,Semi Furnished,1.0,2.0,2.0,yes
3 BHK Flat,3.0,Mulund West,1250,1.0,56.0,Unfurnished,3.0,3.0,0.0,yes
1 BHK Flat,0.36,Virar West,610,1.0,11.0,Semi Furnished,1.0,2.0,,yes
2 BHK Flat,0.47,Virar West,910,1.0,14.0,Semi Furnished,2.0,2.0,1.0,yes
2 BHK Flat,1.9,Borivali West,960,1.0,22.0,Unfurnished,2.0,2.0,0.0,yes
1 BHK Flat,1.32,Malad West,650,5.0,16.0,Semi Furnished,1.0,2.0,0.0,yes
2 BHK Flat,0.88,Mira Road East,1070,5.0,16.0,Semi Furnished,2.0,2.0,4.0,yes
1 BHK Flat,1.2,Wadala East,370,2.0,22.0,Unfurnished,1.0,2.0,0.0,no
1 BHK Flat,1.05,Mulund West,525,3.0,19.0,Semi Furnished,2.0,,0.0,yes
2 BHK Flat,1.8,Ghatkopar West,1053,4.0,22.0,Unfurnished,2.0,2.0,0.0,yes
2 BHK Flat,2.65,Powai,950,3.0,28.0,Semi Furnished,2.0,1.0,0.0,yes
2 BHK Flat,1.05,Bhayandar East,1100,2.0,22.0,Semi Furnished,2.0,2.0,3.0,yes
4 BHK Flat,6.3,Borivali East,1600,5.0,16.0,Semi Furnished,4.0,4.0,0.0,yes
1 BHK Flat,0.34,Virar West,650,1.0,22.0,Unfurnished,1.0,2.0,2.0,no
2 BHK Flat,1.22,Mira Road East,1050,1.0,25.0,Semi Furnished,2.0,2.0,3.0,yes
3 BHK Flat,7.5,Chembur,2000,1.0,15.0,Unfurnished,3.0,3.0,2.0,yes
3 BHK Flat,3.95,Goregaon West,1470,3.0,44.0,Semi Furnished,3.0,2.0,,yes
2 BHK Flat,1.47,Borivali East,674,1.0,22.0,Unfurnished,2.0,2.0,0.0,yes
2 BHK Flat,4.8,Byculla,980,5.0,16.0,Semi Furnished,2.0,2.0,0.0,yes
3 BHK Flat,2.15,Ghatkopar East,1020,2.0,16.0,Unfurnished,3.0,2.0,0.0,yes
2 BHK Flat,1.31,Mira Road East,920,5.0,16.0,Semi Furnished,2.0,2.0,3.0,yes
2 BHK Flat,2.0,Borivali West,1025,1.0,10.0,Unfurnished,2.0,2.0,0.0,yes
3 BHK Flat,2.83,Goregaon West,1350,5.0,16.0,Semi Furnished,3.0,3.0,0.0,yes
3 BHK Flat,2.62,Andheri West,807,1.0,14.0,Unfurnished,2.0,,0.0,yes
1 BHK Flat,0.94,Mulund West,520,5.0,16.0,Semi Furnished,1.0,,0.0,yes
3 BHK Flat,5.48,Goregaon East,1869,1.0,60.0,Unfurnished,3.0,3.0,1.0,yes
3 BHK Flat,3.0,Mulund West,1150,1.0,60.0,Semi Furnished,3.0,2.0,0.0,yes
2 BHK Flat,1.55,Mulund West,700,1.0,22.0,Unfurnished,2.0,,0.0,yes
3 BHK Flat,2.9,Mulund West,1360,1.0,55.0,Unfurnished,3.0,3.0,0.0,yes
2 BHK Flat,1.54,Borivali East,1175,5.0,16.0,Semi Furnished,2.0,3.0,0.0,yes
1 BHK Flat,0.85,Vikhroli East,396,1.0,23.0,Semi Furnished,1.0,2.0,0.0,no
2 BHK Flat,2.3,Kanjurmarg East,897,1.0,50.0,Semi Furnished,2.0,1.0,0.0,yes
2 BHK Flat,3.15,Santacruz East,1000,1.0,10.0,Semi Furnished,2.0,2.0,2.0,yes
2 BHK Flat,2.3,Andheri West,624,5.0,37.0,Unfurnished,2.0,2.0,0.0,yes
2 BHK Flat,2.0,Borivali West,1100,2.0,20.0,Semi Furnished,2.0,2.0,0.0,yes
2 BHK Flat,0.49,Naigaon East,755,4.0,23.0,Unfurnished,2.0,1.0,3.0,yes
2 BHK Flat,4.55,Lower Parel,1050,4.0,77.0,Semi Furnished,2.0,2.0,0.0,yes
2 BHK Flat,2.1,Goregaon West,900,4.0,22.0,Semi Furnished,2.0,,0.0,yes
1 BHK Flat,1.22,Borivali West,403,1.0,18.0,Unfurnished,2.0,,0.0,yes
2 BHK Flat,5.35,Santacruz West,1166,1.0,15.0,Unfurnished,2.0,2.0,,yes
2 BHK Flat,3.65,Mumbai Central,1080,2.0,72.0,Fully Furnished,2.0,2.0,3.0,yes
3 BHK Flat,3.4,Malad West,1400,1.0,22.0,Unfurnished,3.0,,0.0,yes
2 BHK Flat,2.5,Goregaon West,1125,2.0,40.0,Semi Furnished,2.0,2.0,3.0,yes
2 BHK Flat,4.15,Prabhadevi,1250,2.0,23.0,Unfurnished,2.0,2.0,0.0,yes
3 BHK Flat,3.6,Powai,1520,4.0,22.0,Semi Furnished,3.0,2.0,1.0,yes
2 BHK Flat,3.75,Prabhadevi,1025,2.0,22.0,Unfurnished,2.0,,0.0,yes
3 BHK Flat,2.75,Dahisar West,1100,2.0,20.0,Semi Furnished,3.0,3.0,2.0,yes
4 BHK Flat,4.5,Wadala,1500,1.0,44.0,Semi Furnished,4.0,4.0,0.0,yes
1 BHK Flat,0.79,Kandivali West,600,2.0,12.0,Semi Furnished,1.0,2.0,0.0,no
2 BHK Flat,0.4,Nalasopara West,846,1.0,14.0,Semi Furnished,2.0,2.0,3.0,yes
2 BHK Flat,1.9,Goregaon West,1000,1.0,27.0,Unfurnished,2.0,2.0,0.0,yes
1 BHK Flat,0.9,Kandivali West,467,4.0,22.0,Unfurnished,1.0,2.0,0.0,yes
2 BHK Flat,2.1,Andheri East,845,3.0,11.0,Semi Furnished,2.0,,0.0,yes
3 BHK Flat,2.0,Kandivali West,1500,4.0,32.0,Semi Furnished,3.0,3.0,1.0,yes
2 BHK Flat,3.75,Bandra West,745,5.0,16.0,Semi Furnished,2.0,,0.0,yes
1 BHK Flat,1.65,Santacruz West,500,1.0,11.0,Unfurnished,1.0,1.0,,yes
3 BHK Flat,5.5,Santacruz East,1770,1.0,16.0,Unfurnished,3.0,3.0,0.0,yes
3 BHK Flat,6.7,Bandra West,1550,1.0,10.0,Fully Furnished,3.0,,0.0,yes
2 BHK Flat,1.1,Dahisar West,530,5.0,16.0,Semi Furnished,2.0,,0.0,no
1 BHK Flat,0.38,Virar West,700,2.0,14.0,Semi Furnished,1.0,1.0,2.0,yes
4 BHK Flat,4.48,Kandivali East,1500,5.0,16.0,Semi Furnished,4.0,4.0,0.0,yes
2 BHK Flat,1.63,Jogeshwari West,686,5.0,21.0,Unfurnished,2.0,2.0,0.0,no
1 BHK Flat,0.97,Vikhroli East,392,1.0,23.0,Semi Furnished,1.0,2.0,0.0,yes
1 BHK Flat,0.44,Vasai East,478,3.0,14.0,Semi Furnished,2.0,2.0,,yes
1 BHK Flat,0.44,Virar West,690,1.0,23.0,Semi Furnished,1.0,1.0,2.0,yes
1 BHK Flat,0.34,Virar West,758,2.0,15.0,Semi Furnished,1.0,1.0,2.0,yes
2 BHK Flat,2.52,Goregaon West,900,5.0,36.0,Semi Furnished,2.0,2.0,1.0,yes
2 BHK Flat,1.9,Andheri East,980,1.0,18.0,Unfurnished,2.0,2.0,0.0,yes
1 BHK Flat,0.28,Virar West,650,5.0,8.0,Unfurnished,1.0,2.0,2.0,yes
3 BHK Flat,2.75,Goregaon West,1200,5.0,16.0,Semi Furnished,3.0,3.0,1.0,yes
3 BHK Flat,8.5,Lower Parel,1820,1.0,50.0,Semi Furnished,4.0,2.0,,yes
3 BHK Flat,4.18,Ghatkopar East,1610,1.0,12.0,Semi Furnished,3.0,3.0,1.0,no
2 BHK Flat,2.6,Chembur,1058,1.0,14.0,Semi Furnished,2.0,2.0,1.0,yes
2 BHK Flat,1.85,Malad East,1200,1.0,36.0,Unfurnished,2.0,2.0,0.0,yes
2 BHK Flat,1.3,Vikhroli East,750,2.0,23.0,Semi Furnished,2.0,,0.0,yes
2 BHK Flat,2.2,Mulund West,1050,2.0,23.0,Fully Furnished,2.0,,0.0,yes
1 BHK Flat,0.55,Mira Road East,600,5.0,16.0,Semi Furnished,1.0,2.0,0.0,no
1 BHK Flat,1.08,Borivali West,656,3.0,7.0,Unfurnished,1.0,2.0,2.0,yes
1 BHK Flat,1.1,Dahisar West,560,5.0,16.0,Semi Furnished,1.0,2.0,0.0,yes
1 BHK Flat,0.27,Nalasopara West,595,4.0,11.0,Unfurnished,1.0,1.0,2.0,yes
1 BHK Flat,1.15,Borivali West,600,1.0,12.0,Unfurnished,1.0,2.0,0.0,yes
1 BHK Flat,0.3,Nalasopara West,660,1.0,12.0,Semi Furnished,1.0,2.0,,yes
2 BHK Flat,2.5,Santacruz East,880,3.0,11.0,Semi Furnished,2.0,,0.0,yes
1 BHK Flat,1.5,others,462,5.0,23.0,Unfurnished,1.0,1.0,0.0,yes
1 BHK Flat,0.45,Mira Road East,396,1.0,15.0,Unfurnished,1.0,2.0,,yes
2 BHK Flat,1.65,Mulund West,950,3.0,19.0,Unfurnished,2.0,2.0,1.0,yes
1 BHK Flat,0.89,Kurla West,698,2.0,13.0,Unfurnished,1.0,1.0,3.0,yes
2 BHK Flat,1.28,Bhandup West,700,4.0,18.0,Semi Furnished,2.0,2.0,1.0,yes
1 BHK Flat,0.35,Nalasopara East,690,1.0,14.0,Semi Furnished,1.0,1.0,3.0,yes
3 BHK Flat,2.2,Borivali West,1000,5.0,16.0,Semi Furnished,3.0,2.0,0.0,yes
3 BHK Flat,5.6,Lower Parel,1580,2.0,27.0,Semi Furnished,3.0,4.0,2.0,yes
3 BHK Flat,4.68,Borivali East,1515,1.0,62.0,Unfurnished,3.0,,0.0,yes
3 BHK Flat,2.75,Chembur,1150,3.0,23.0,Semi Furnished,3.0,2.0,0.0,yes
3 BHK Flat,2.35,Malad West,1050,5.0,16.0,Semi Furnished,3.0,3.0,2.0,yes
2 BHK Flat,4.85,Lower Parel,900,3.0,78.0,Unfurnished,2.0,2.0,0.0,yes
2 BHK Flat,1.85,Goregaon West,675,5.0,16.0,Semi Furnished,2.0,2.0,0.0,yes
1 BHK Flat,1.15,Kandivali West,498,4.0,22.0,Semi Furnished,1.0,2.0,0.0,yes
2 BHK Flat,1.2,Kandivali West,980,3.0,21.0,Unfurnished,2.0,2.0,0.0,yes
1 BHK Flat,0.85,Malad East,530,1.0,40.0,Fully Furnished,1.0,2.0,0.0,no
3 BHK Flat,4.5,Vile Parle East,1200,4.0,7.0,Unfurnished,,,,yes
3 BHK Flat,5.5,Matunga East,1750,1.0,35.0,Unfurnished,3.0,3.0,3.0,yes
2 BHK Flat,1.35,Kandivali West,600,2.0,21.0,Semi Furnished,2.0,2.0,0.0,yes
1 BHK Flat,0.99,Andheri East,460,1.0,15.0,Unfurnished,1.0,2.0,0.0,no
3 BHK Flat,7.25,Vile Parle West,1450,1.0,17.0,Unfurnished,3.0,3.0,3.0,yes
2 BHK Flat,0.59,Virar West,1085,2.0,14.0,Semi Furnished,2.0,2.0,3.0,yes
2 BHK Flat,1.93,Malad East,1080,3.0,37.0,Semi Furnished,2.0,2.0,0.0,yes
3 BHK Flat,3.1,Malad West,1352,5.0,16.0,Semi Furnished,3.0,,0.0,yes
1 BHK Flat,1.3,Borivali West,620,5.0,16.0,Semi Furnished,2.0,,0.0,yes
1 BHK Flat,0.21,Nalasopara West,620,5.0,7.0,Semi Furnished,1.0,1.0,1.0,yes
2 BHK Flat,1.79,Kandivali West,800,2.0,19.0,Unfurnished,2.0,2.0,0.0,yes
2 BHK Flat,1.12,Mira Road East,825,1.0,27.0,Semi Furnished,2.0,2.0,3.0,yes
1 BHK Flat,1.35,Borivali West,580,1.0,22.0,Unfurnished,1.0,2.0,1.0,yes
1 BHK Flat,1.11,Mulund West,600,2.0,7.0,Semi Furnished,2.0,,0.0,yes
3 BHK Flat,2.15,Malad West,1620,3.0,21.0,Unfurnished,3.0,3.0,0.0,no
2 BHK Flat,2.15,Andheri East,1120,3.0,17.0,Semi Furnished,2.0,2.0,0.0,yes
2 BHK Flat,1.39,Kurla West,1100,1.0,13.0,Semi Furnished,2.0,2.0,,yes
2 BHK Flat,1.66,Ghatkopar East,750,1.0,16.0,Semi Furnished,2.0,1.0,0.0,yes
3 BHK Flat,4.7,Borivali East,1500,1.0,53.0,Semi Furnished,3.0,3.0,0.0,yes
3 BHK Flat,1.82,Borivali East,1350,5.0,16.0,Semi Furnished,3.0,3.0,3.0,yes
3 BHK Flat,4.99,Dadar West,1250,4.0,18.0,Unfurnished,3.0,1.0,,yes
1 BHK Flat,0.48,Mira Road East,557,5.0,16.0,Semi Furnished,1.0,2.0,1.0,yes
1 BHK Flat,0.9,Vikhroli East,510,1.0,22.0,Unfurnished,1.0,2.0,0.0,yes
2 BHK Flat,2.45,Goregaon East,800,2.0,44.0,Fully Furnished,2.0,2.0,1.0,yes
2 BHK Flat,2.48,Malad East,1143,4.0,55.0,Semi Furnished,2.0,2.0,3.0,yes
1 BHK Flat,0.63,Mira Road East,750,5.0,16.0,Semi Furnished,1.0,2.0,2.0,yes
1 BHK Flat,0.3,Virar West,650,5.0,16.0,Semi Furnished,1.0,2.0,,yes
1 BHK Flat,0.65,Mira Road East,674,1.0,25.0,Unfurnished,1.0,2.0,2.0,no
1 BHK Flat,0.63,Mira Road East,730,1.0,20.0,Semi Furnished,1.0,2.0,3.0,no
3 BHK Flat,8.5,Worli,2300,1.0,50.0,Unfurnished,3.0,3.0,1.0,yes
1 BHK Flat,0.82,Vikhroli East,660,1.0,18.0,Semi Furnished,1.0,2.0,2.0,yes
4 BHK Flat,7.5,Chembur,2100,4.0,15.0,Unfurnished,4.0,4.0,4.0,yes
1 BHK Flat,1.0,Malad West,490,4.0,23.0,Unfurnished,1.0,2.0,0.0,yes
2 BHK Flat,1.71,Andheri East,650,1.0,14.0,Unfurnished,2.0,2.0,0.0,yes
2 BHK Flat,1.4,Ghatkopar East,749,2.0,20.0,Fully Furnished,2.0,2.0,0.0,no
2 BHK Flat,1.35,Malad West,750,1.0,21.0,Unfurnished,2.0,2.0,0.0,yes
1 BHK Flat,0.55,Bhayandar East,700,1.0,10.0,Semi Furnished,2.0,1.0,,yes
1 BHK Flat,2.1,Dadar East,489,5.0,16.0,Semi Furnished,2.0,,0.0,yes
2 BHK Flat,1.59,Dahisar East,953,1.0,28.0,Semi Furnished,2.0,2.0,2.0,yes
